id,name,medianIncome,households,population,source,onsAreas
alta-vista,Alta Vista,71178,28835,68180,Statistics Canada 2021 Census (ONS-SQO),"Alta Vista ($115,000); Billings Bridge - Heron Park ($55,200); Elmvale - Canterbury ($78,500); Ledbury - Heron Gate - Ridgemont ($56,400); Emerald Woods - Sawmill Creek ($67,500); Hawthorne Meadows - Sheffield Glen ($60,800); Riverview ($64,000); Playfair Park - Guildwood Estates ($91,000)"
barrhaven,Barrhaven,104863,28680,86315,Statistics Canada 2021 Census (ONS-SQO),"Old Barrhaven East ($101,000); Old Barrhaven West ($105,000); Chapman Mills ($103,000); Stonebridge - Half Moon Bay ($109,000)"
bayshore,Bayshore,68812,17105,38280,Statistics Canada 2021 Census (ONS-SQO),"Bayshore ($64,000); Britannia ($58,800); Whitehaven - Woodpark - Glabar Park ($70,500); Crystal Bay - Lakeview Park ($108,000)"
belair-heights,Bel Air Heights,79500,3910,9085,Statistics Canada 2021 Census (ONS-SQO),"Braemar Park - Bel Air Heights - Copeland Park ($79,500)"
bells-corners,Bells Corners,81818,7045,17205,Statistics Canada 2021 Census (ONS-SQO),"Bells Corners East ($83,000); Bells Corners West ($74,000); Leslie Park - Bruce Farm ($84,000); Qualicum - Redwood ($87,000)"
byward-market,Byward Market,59597,8205,15560,Statistics Canada 2021 Census (ONS-SQO),"Lowertown East ($49,200); Lowertown West ($64,500); Wateridge Village ($77,500)"
carlington,Carlington,69838,14875,35515,Statistics Canada 2021 Census (ONS-SQO),"Carlington ($62,000); Fisher Heights ($91,000); City view ($80,000); Carleton Heights - Courtland Park ($68,500)"
carp,Carp,126000,1800,5200,Statistics Canada 2021 Census (ONS-SQO),"Carp ($126,000)"
centretown,Centretown,64949,27630,46460,Statistics Canada 2021 Census (ONS-SQO),"Centretown ($62,800); West Centretown ($54,400); Civic Hospital ($102,000)"
constance-bay,Constance Bay,92682,2575,6210,Statistics Canada 2021 Census (ONS-SQO),"Constance Bay ($89,000); Fitzroy ($95,000)"
dunrobin,Dunrobin,123000,2000,5655,Statistics Canada 2021 Census (ONS-SQO),"Dunrobin ($123,000)"
findlay-creek,Findlay Creek,111000,4380,14280,Statistics Canada 2021 Census (ONS-SQO),"Findlay Creek ($111,000)"
greely,Greely,128000,3565,10610,Statistics Canada 2021 Census (ONS-SQO),"Greely ($128,000)"
hintonburg,Hintonburg,67500,6205,10965,Statistics Canada 2021 Census (ONS-SQO),"Hintonburg - Mechanicsville ($67,500)"
hunt-club,Hunt Club,89664,17935,48790,Statistics Canada 2021 Census (ONS-SQO),"Hunt Club Park ($91,000); Old Hunt Club ($89,000); Greenboro East ($89,000); Greenboro West ($89,000); South Keys ($77,500); Blossom Park - Timbermill ($95,000)"
kanata,Kanata,104103,33000,91955,Statistics Canada 2021 Census (ONS-SQO),"Kanata Lakes ($108,000); Katimavik - Hazeldean ($94,000); Glen Cairn ($93,000); Beaverbrook ($89,000); Brookside - Briarbrook - Morgan's Grant ($112,000); Bridlewood - Emerald Meadows ($112,000)"
wellington-village,Wellington Village,120000,2230,5490,Statistics Canada 2021 Census (ONS-SQO),"Island Park - Wellington Village ($120,000)"
manotick,Manotick,128000,3835,10445,Statistics Canada 2021 Census (ONS-SQO),"Manotick ($128,000)"
merivale,Merivale,83566,10295,25790,Statistics Canada 2021 Census (ONS-SQO),"Merivale Gardens - Grenfell Glen - Pineglen - Country Place ($130,000); Parkwood Hills ($58,400); Borden Farm - Fisher Glen ($81,000); Crestview - Tanglewood ($88,000)"
metcalfe,Metcalfe-Osgoode,105515,4145,11500,Statistics Canada 2021 Census (ONS-SQO),"Metcalfe ($108,000); Osgoode - Vernon ($103,000)"
nepean,Nepean,89983,11090,28610,Statistics Canada 2021 Census (ONS-SQO),"Centrepointe ($101,000); Trend-Arlington ($95,000); Craig Henry - Manordale ($90,000); Iris ($70,500)"
new-edinburgh,New Edinburgh,87672,7430,15325,Statistics Canada 2021 Census (ONS-SQO),"New Edinburgh ($98,000); Manor Park ($64,000); Rockcliffe Park ($212,000)"
north-gower,North Gower,108000,1780,4930,Statistics Canada 2021 Census (ONS-SQO),"North Gower - Kars ($108,000)"
old-ottawa-south,Old Ottawa South,125000,2505,6480,Statistics Canada 2021 Census (ONS-SQO),"Old Ottawa South ($125,000)"
riverside-park,Riverside Park,90000,3205,7720,Statistics Canada 2021 Census (ONS-SQO),"Riverside Park - Mooney's Bay ($73,000); Riverside Park South - Revelstoke ($116,000)"
orleans,Orleans,104000,46280,128095,Statistics Canada 2021 Census (ONS-SQO),"Fallingbrook ($109,000); Convent Glen - Orléans Woods ($93,000); Orléans Village - Chateauneuf ($106,000); Cardinal Creek ($114,000); Chapel Hill North ($105,000); Chapel Hill South ($117,000); Portobello South ($108,000); Queenswood Heights ($92,000); Queenswood - Chatelaine ($86,000)"
richmond,Richmond,109000,2800,7500,Statistics Canada 2021 Census (ONS-SQO),"Richmond ($109,000)"
riverside-south,Riverside South,115319,11245,33675,Statistics Canada 2021 Census (ONS-SQO),"Riverside South - Leitrim ($117,000); Rideau Crest - Davidson Heights ($113,000)"
sandy-hill,Sandy Hill,60561,16420,34990,Statistics Canada 2021 Census (ONS-SQO),"Sandy Hill ($56,400); Overbrook ($64,000)"
stittsville,Stittsville,114677,15895,45570,Statistics Canada 2021 Census (ONS-SQO),"Stittsville ($120,000); Stittsville East ($109,000); Stittsville North ($110,000)"
the-glebe,The Glebe,89000,6395,13665,Statistics Canada 2021 Census (ONS-SQO),"Glebe - Dows Lake ($89,000)"
old-ottawa-east,Old Ottawa East,82000,3955,8535,Statistics Canada 2021 Census (ONS-SQO),"Old Ottawa East ($82,000)"
vanier,Vanier,56152,9520,17820,Statistics Canada 2021 Census (ONS-SQO),"Vanier North ($61,200); Vanier South ($49,200)"
vars,Vars-Navan,98314,3360,8915,Statistics Canada 2021 Census (ONS-SQO),"Vars ($105,000); Navan - Sarsfield ($106,000); Edwards - Carlsbad Springs ($86,000)"
westboro,Westboro,87469,11080,23700,Statistics Canada 2021 Census (ONS-SQO),"Westboro ($84,000); Laurentian ($92,000)"
cumberland,Cumberland,125000,1565,4600,Statistics Canada 2021 Census (ONS-SQO),"Cumberland ($125,000)"
kinburn,Kinburn,108000,1400,3985,Statistics Canada 2021 Census (ONS-SQO),"Kinburn ($108,000)"
munster-ashton,Munster-Ashton,106000,1800,4995,Statistics Canada 2021 Census (ONS-SQO),"Munster - Ashton ($106,000)"
corkery,Corkery,124000,1300,3700,Statistics Canada 2021 Census (ONS-SQO),"Corkery ($124,000)"
blackburn-hamlet,Blackburn Hamlet,90000,3175,8255,Statistics Canada 2021 Census (ONS-SQO),"Blackburn Hamlet ($90,000)"
gloucester,Gloucester,83500,14155,35615,Statistics Canada 2021 Census (ONS-SQO),"Beacon Hill South - Cardinal Heights ($73,500); Carson Grove - Carson Meadows ($75,500); Rothwell Heights - Beacon Hill North ($99,000); Pineview ($85,000)"
