NAME,LATITUDE,LONGITUDE,ADDRESS,POSTAL_CODE,ACRONYM
Alta Vista,45.378183,-75.661077,2516 Alta Vista,K1V 7T1,AL
Beaverbrook,45.319816,-75.89578,2500 Campeau,K2K 2W3,BE
Blackburn Hamlet,45.430877,-75.564075,199 Glen Park,K1B 5B8,BH
Carlingwood,45.372926,-75.772231,281 Woodroffe,K2A 3W4,CA
Carp,45.34882,-76.04244,3911 Carp,K0A 1L0,CP
Centennial,45.321094,-75.826147,3870 Richmond Rd,K2H 5C4,CE
Constance Bay,45.499152,-76.092682,262 Len Purcell,K0A 3M0,CB
Cumberland,45.47051,-75.493387,1599 Tenth Line,K1E 3E8,CU
Elmvale Acres,45.398954,-75.623072,1910 St-Laurent,K1G 1A4,EA
Emerald Plaza,45.354771,-75.735671,1547 Merivale,K2G 4V3,EP
Fitzroy Harbour,45.47236,-76.21571,100 Clifford Campbell,K0A 1X0,FH
Greely,45.262251,-75.556703,1448 Meadow Drive,K4P 1B1,GR
Greenboro,45.363053,-75.634675,363 Lorry Greenberg,K1T 3P8,GB
Hazeldean,45.294924,-75.886505,50 Castlefrank,K2L 2N5,HA
Main,45.420364,-75.695282,120 Metcalfe,K1P 5M2,MA
Manotick,45.22818,-75.68112,5499 South River,K4M 1J3,MK
Metcalfe Village,45.229341,-75.469389,2782 8th Line,K0A 2P0,ME
Munster,45.165161,-75.938841,7749 Bleeks,K0A 3P0,MU
Nepean Centrepointe,45.343315,-75.763518,101 Centrepointe,K2G 5K7,NC
North Gloucester,45.438355,-75.601253,2036 Ogilvie,K1J 7N8,NG
North Gower,45.13169,-75.71671,6579 Fourth Line,K0A 2T0,GO
Orleans,45.45533,-75.525845,1705 Orléans,K1C 4W2,OR
Osgoode,45.15352,-75.59368,5630 Osgoode Main,K0A 2W0,OS
Richmond,45.19916,-75.83365,6240 Perth,K0A 2Z0,RM
Rideau,45.429883,-75.683066,377 Rideau,K1N 5Y6,RI
Rockcliffe Park,45.450763,-75.679071,380 Springfield,K1M 0L7,RP
Rosemount,45.401629,-75.72607,18 Rosemount,K1Y 1P4,RO
Ruth E. Dickinson,45.281535,-75.760826,100 Malvern,K2J 2G5,RD
Stittsville,45.254049,-75.915466,1637 Stittsville Main,K2S 1A9,ST
Saint Laurent,45.43566,-75.64759,515 Côté,K1K 0Z8,SL
Sunnyside,45.395341,-75.68399,1049 Bank,K1S 3W9,SU
Vanier,45.44228,-75.66206,310 Pères Blancs,K1L 7L5,VA
Vernon,45.16375,-75.46409,8682 Bank,K0A 3J0,VE
Kiosk / Lockers,45.35074,-75.673019,3320 Paul Anka Dr.,K1V 0J9,KIOSK
